Time,ID,Ax,Ay,Az,Gx,Gy,Gz,Height,Weight
2026-04-27 14:36:43.019,5,0.99,-0.01,-0.02,-1.27,1.59,0.4,175,75
2026-04-27 14:36:43.033,5,1.0,-0.01,-0.02,-1.43,1.8,0.92,175,75
2026-04-27 14:36:43.073,5,1.01,-0.01,-0.02,-1.47,1.59,0.9,175,75
2026-04-27 14:36:43.095,5,1.01,-0.02,-0.02,-1.36,1.76,0.9,175,75
2026-04-27 14:36:43.113,5,1.02,-0.01,-0.02,-1.62,1.98,1.08,175,75
2026-04-27 14:36:43.130,5,1.02,-0.01,-0.02,-1.48,1.98,0.62,175,75
2026-04-27 14:36:43.153,5,1.04,-0.01,-0.02,-1.51,1.69,0.18,175,75
2026-04-27 14:36:43.174,5,1.03,-0.01,-0.02,-1.51,1.9,0.38,175,75
2026-04-27 14:36:43.195,5,1.02,-0.01,-0.02,-1.15,1.6,0.6,175,75
2026-04-27 14:36:43.210,5,1.01,-0.01,-0.02,-1.16,1.46,0.82,175,75
2026-04-27 14:36:43.235,5,1.01,-0.01,-0.02,-1.58,1.73,1.01,175,75
2026-04-27 14:36:43.262,5,1.01,-0.01,-0.02,-1.11,1.54,0.76,175,75
2026-04-27 14:36:43.286,5,1.01,-0.01,-0.01,-1.37,1.74,1.19,175,75
2026-04-27 14:36:43.294,5,1.01,-0.01,-0.02,-1.2,1.79,1.37,175,75
2026-04-27 14:36:43.322,5,1.02,-0.01,-0.02,-1.19,1.63,0.98,175,75
2026-04-27 14:36:43.335,5,1.02,-0.01,-0.02,-1.29,1.82,1.08,175,75
2026-04-27 14:36:43.355,5,1.0,-0.02,-0.02,-1.24,1.88,0.95,175,75
2026-04-27 14:36:43.373,5,1.01,-0.01,-0.02,-1.27,1.75,0.55,175,75
2026-04-27 14:36:43.401,5,1.01,-0.01,-0.03,-1.24,1.77,0.77,175,75
2026-04-27 14:36:43.413,5,1.01,-0.01,-0.02,-1.34,2.02,1.13,175,75
2026-04-27 14:36:43.430,5,1.02,-0.01,-0.01,-1.43,1.85,0.87,175,75
2026-04-27 14:36:43.453,5,1.03,-0.01,-0.02,-1.41,1.85,0.98,175,75
2026-04-27 14:36:43.484,5,1.01,-0.01,-0.03,-1.05,1.45,0.8,175,75
2026-04-27 14:36:43.502,5,1.01,-0.01,-0.02,-1.36,1.66,1.03,175,75
2026-04-27 14:36:43.512,5,1.01,-0.01,-0.01,-1.37,1.9,0.92,175,75
2026-04-27 14:36:43.532,5,1.01,-0.01,-0.02,-1.36,1.91,0.56,175,75
2026-04-27 14:36:43.553,5,1.01,-0.01,-0.03,-1.24,1.96,0.91,175,75
2026-04-27 14:36:43.574,5,1.01,-0.01,-0.02,-1.4,1.62,1.14,175,75
